ocid,titre,organisme,nb_signaux,signaux,montant,url_seao
ocds-ec9k95-1383350,88 Places en ressources intermédiaires (RI),Santé Québec Estrie - Centre hospitalier universitaire de Sherbrooke,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",27469985.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=e3f09c09-06f2-43a4-8fd4-be1b232ba12b
ocds-ec9k95-1147514,"SERVICES PROFESSIONNELS DE MISE EN ŒUVRE D’UNE SOLUTION INTÉGRÉE FINANCE, RESSOURCES HUMAINES ET APPROVISIONNEMENT",Université Concordia,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",24402667.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=f0e8e68c-c455-47e5-b085-791f3a711822
ocds-ec9k95-1678303,L’évolution de la solution « Orchestrateur de rendez-vous » afin de mieux répondre aux besoins des soins de première ligne en santé.,Fonds des ressources informationnelles du secteur de la Santé et des Services sociaux (FRISSSS),3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",21700000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=7725d7b3-0fe6-40d5-b085-54a372ebc096
ocds-ec9k95-1413105,L’acquisition d’une licence logicielle avec un droit d’utilisation perpétuel,Fonds des ressources informationnelles du secteur de la Santé et des Services sociaux (FRISSSS),3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",18561702.94,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=1dbf178b-01d5-47e5-9c04-40200450f1c1
ocds-ec9k95-1331177,Contrat à commandes de logiciels Trend Micro,Centre d'acquisitions gouvernementales,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",14700000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=be28a9f1-33c5-460b-8c6a-6cfa0a0c3086
ocds-ec9k95-1257216,Agrandissement / École Saint-Joseph,Centre de services scolaire de la Pointe-de-l'Île,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",12992000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=0a46cc7c-ce13-444b-aa51-cc29c43c97b5
ocds-ec9k95-1473263,Contrat à exécution sur demande pour des travaux généraux multiples dans divers établissements,Centre de services scolaires de la Capitale,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",12420000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=12492858-c82b-45af-972e-ec9d9527964f
ocds-ec9k95-1252893,"2503-19-0209 / Renforcement et réparation de poutres sur le pont de l'Île aux Tourtes, au-dessus de la rivière des Outaouais (Vaudreuil-Dorion).",Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",11608080.95,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=39d08b11-0d6f-428e-a1f4-29e4b410305c
ocds-ec9k95-1730902,Services de distribution de gaz naturel,Université McGill,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",10050000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=218616df-0044-4d2d-b626-863722439175
ocds-ec9k95-1714709,Installation tomographe a émission de positrons,Centre intégré de santé et de services sociaux (CISSS) des Laurentides,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",6158975.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=6574dd64-0d30-44af-9a07-3785d15ec26f
ocds-ec9k95-1579996,Mise aux normes de l'école Alternative (Relance),Centre de services scolaire des Sommets,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",5489522.57,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=3bdbdb57-fca5-4fb0-8f91-ee559f279221
