projet,secteur,cout_initial,cout_actuel,cout_initial_g,cout_actuel_g,annee_annonce,echeance_initiale,echeance_actuelle,statut,sources
Tramway de Québec,transport,Pas de source officielle trouvée,"7,6 G$ (décembre 2024)",,,,Automne 2026,2033,en planification,https://ici.radio-canada.ca/nouvelle/2127171/tramway-tramcite-projet-milliards · https://www.lesoleil.com/actualites/actualites-locales/la-capitale/2026/04/01/tramway-rien-ne-laisse-croire-a-des-depassements-de-couts-HPHDZMX7SNDODGSMFBTWU5R3BA/ · https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Troisième lien Québec-Lévis,transport,"6 à 7 G$ (tunnel, mai 2021)",Aucun coût officiel,,,,,,en planification,https://ici.radio-canada.ca/nouvelle/1793883/ · https://www.lapresse.ca/actualites/politique/2025-07-08/troisieme-lien-quebec-levis/le-projet-pourrait-couter-pres-de-10-milliards.php · https://www.quebec.ca/nouvelles/actualites/details/troisieme-lien-entre-quebec-et-levis-le-gouvernement-frechette-lance-lappel-dinteret-international-71449 · https://www.lapresse.ca/actualites/politique/2026-08-11/troisieme-lien-quebec-levis/le-gouvernement-a-recu-21-propositions-d-entreprises.php
Prolongement de la ligne bleue du métro de Montréal,transport,"6,4 G$ (estimation avant 2024)","7,6 G$ (7 576,5 M$, juillet 2024)",6.4,7.5765,,2026,Mai 2031,en réalisation,https://ici.radio-canada.ca/nouvelle/2099178/prolongement-ligne-bleue-2031 · https://www.lapresse.ca/actualites/grand-montreal/2026-05-13/prolongement-de-la-ligne-bleue/le-tunnelier-entrera-finalement-en-action.php · https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
REM de l'Est / Projet structurant de l'Est (Montréal),transport,Pas de source officielle trouvée,Non publié,,,,,,à l'étude,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Hôpital de Vaudreuil-Soulanges,sante,"2,6 G$ (2 595 M$, juin 2022)","2,6 G$ (2 595 M$)",2.595,2.595,2022,Novembre 2026,Août 2027,en réalisation,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Nouveau complexe hospitalier de l'Hôpital de l'Enfant-Jésus (CHU de Québec),sante,"2,0 G$ (1 967,5 M$, 2018)","2,7 G$ (2 656,9 M$)",1.9675,2.6569,2018,Décembre 2025,Décembre 2031,en réalisation,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Nouveau pont de l'Île-d'Orléans,transport,Non retracé,"2,8 G$ (2 759,1 M$, mars 2024)",,,,,Décembre 2033,en réalisation,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Réfection du tunnel Louis-Hippolyte-La Fontaine,transport,"1,3 G$ (1 254,2 M$)","2,8 G$ (2 796,1 M$)",1.2542,2.7961,,Novembre 2024,Août 2027,en réalisation,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
Nouveau pont de l'Île-aux-Tourtes,transport,"1,5 G$ (1 475,4 M$)","2,3 G$ (2 301,6 M$, avril 2023)",1.4754,2.3016,,,Décembre 2027 (ouverture partielle en décembre 2026),en réalisation,https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv
SAAQclic (programme CASA de la SAAQ),transport,638 M$ (dossier d'affaires de 2017),"Au moins 1,1 G$ d'ici mars 2027",0.638,1.1,2017,,,"en service, en partie abandonné",https://www.quebec.ca/nouvelles/actualites/details/le-verificateur-general-du-quebec-presente-le-tome-de-fevrier-2025-de-son-rapport-a-lassemblee-nationale-61131 · https://ici.radio-canada.ca/nouvelle/2142323/saaqclic-verificatrice-fiasco-saaq · https://ici.radio-canada.ca/nouvelle/2229424/depot-rapport-commission-gallant-saaq-clic · https://www.lapresse.ca/actualites/2026-02-16/fiasco-saaqclic/quelles-sont-les-recommandations-du-rapport-gallant.php
Musée national de l'histoire du Québec (ex-Espace bleu de la Capitale-Nationale),culture,"49,8 M$","105,0 M$ (août 2025)",0.0498,0.105,,Mai 2025,Mars 2026 (bâtiment),"bâtiment livré, équipements à installer",https://www.donneesquebec.ca/recherche/dataset/67d85a7a-10af-4af0-b4da-abc64cfd735a/resource/1f3ea7fa-d8c6-4054-937d-fcc76be81803/download/donnees_ouvertes_tb_20260820.csv · https://www.assnat.qc.ca/fr/travaux-parlementaires/projets-loi/projet-loi-64-43-1.html
