secteur,secteur_nom,indicateur,valeur,annee,unite,sens,tendance,comparaison,cible,source,url_source
sante,Santé et services sociaux,Durée moyenne de séjour sur civière aux urgences,16 h 48,2025-2026,heures,bas_mieux,"Hausse depuis la pandémie (≈15 h 12 pour avril 2019 à février 2020 ; 16 h 45 en 2021-2022 ; 17 h 12 en 2024-2025), puis légère baisse de 24 min en 2025-2026. Reste au-dessus du niveau d'avant la pandémie.",Pas de comparaison interprovinciale directe (définition propre au Québec). La norme clinique idéale citée par le MSSS est de 8 h (patients non admis) à 12 h (patients admis).,"Plan stratégique MSSS 2023-2027 : 15 h en 2025-2026 (non atteinte), 14 h en 2026-2027.",Ministère de la Santé,https://msss.gouv.qc.ca/repertoires/indicateurs-gestion/indicateur-000027/
sante,Santé et services sociaux,"Personnes ayant un fournisseur habituel de soins (médecin de famille, IPS, etc.)",74 %,2024,%,haut_mieux,"Toujours le plus bas des grandes provinces. Selon l'ancienne question de l'Enquête sur la santé dans les collectivités canadiennes : 72,2 % (2015) → 80,6 % (2020) → 78,7 % (2022). L'entente MSSS-FMOQ de 2025 a permis de prendre en charge 556 473 personnes de plus (fin mai 2026), en bonne partie par inscription collective à un GMF.","Ontario 88 %, moyenne canadienne 83 % (2024, ICIS).",Cible gouvernementale (entente MSSS-FMOQ) : 85 % de la population inscrite auprès d'un médecin de famille.,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/2201718/quebec-acces-fournisseur-soins-sante-faible
sante,Santé et services sociaux,Patients en attente d'une chirurgie depuis plus d'un an,3 822 (sur 126 209 demandes en attente),Période 4 de 2026-2027 (fin juillet 2026),demandes,bas_mieux,"Très forte hausse pendant la pandémie (2 645 en mars 2020 → 21 295 en mars 2022 ; les médias ont rapporté un sommet d'environ 22 000 en septembre 2022), puis baisse continue : 7 121 (mars 2025), 3 969 (mars 2026).",Pas de donnée comparable publiée pour l'Ontario ; niveau d'avant la pandémie (mars 2020) : 2 645.,Objectif du MSSS de revenir au seuil d'avant la pandémie (environ 2 500).,donneesquebec.ca,https://www.donneesquebec.ca/recherche/dataset/chirurgies-portrait-de-la-liste-d-attente
sante,Santé et services sociaux,Prothèses du genou faites dans le délai de référence,42 %,2025,%,haut_mieux,"Effondrement pendant la pandémie (72 % en 2019 → 31,7 % en 2022), remontée lente depuis (37,8 % en 2024, 42 % en 2025). Hanche : 76 % (2019) → 54 % (2025). Cataracte (16 semaines) : 82 % (2019) → 65 % (2025).","Ontario 82,1 %, Canada 62,8 % (2025). Le Québec est passé d'au-dessus de la moyenne canadienne en 2019 à nettement sous celle-ci.",Délai de référence pancanadien : 26 semaines. Aucun pourcentage cible officiel québécois trouvé.,Institut canadien d'information sur la santé,https://www.cihi.ca/sites/default/files/document/wait-times-priority-procedures-in-canada-2008-2025-data-tables-en.xlsx
sante,Santé et services sociaux,Espérance de vie à la naissance,"82,7 ans (2024, hommes et femmes) ; 2025 : 81,1 ans (hommes) et 84,4 ans (femmes)",2024-2025,ans,haut_mieux,Quasi stable depuis 2016 (rupture avec la hausse des décennies précédentes) ; baisse ponctuelle en 2020 et 2022.,"Canada 82,2 ans, Ontario 82,9 ans (2024, Statistique Canada). Le Québec dépasse la moyenne canadienne.",,Institut de la statistique du Québec,https://statistique.quebec.ca/fr/fichier/bilan-demographique-quebec-edition-2025.pdf
sante,Santé et services sociaux,Espérance de vie en bonne santé,"70,4 ans",2023,ans,haut_mieux,"71,1 ans (2019), 71,2 ans (2020), 70,4 ans (2023) : légère baisse.","Ontario 67,1 ans, Canada 66,9 ans (2023). Le Québec est nettement au-dessus.",,Statistique Canada,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1310097101
sante,Santé et services sociaux,Dépenses totales de santé par habitant,9 320 $ (prévision),2025,$,,"Série provinciale non extraite pour cette fiche. En 2024, la dépense publique réelle par habitant a reculé au Canada (-1,4 %), la population ayant crû plus vite que les budgets.","Ontario 9 045 $ (le plus bas), Nouvelle-Écosse 11 617 $ (le plus haut). Le Québec est parmi les trois provinces qui dépensent le moins par habitant.",,Institut canadien d'information sur la santé,https://www.cihi.ca/en/national-health-expenditure-trends/nhex-trends-reports/nhex-trends-2025-snapshot
education,"Éducation (primaire, secondaire, cégep, université)",Taux de diplomation et de qualification au secondaire (après 7 ans),"82,7 %",2024-2025,%,haut_mieux,"Hausse d'environ 11 points depuis 2008-2009 ; première baisse en 16 ans en 2023-2024 (84,3 % → 82,4 %), puis stabilisation (82,7 %). Garçons 79,2 %, filles 86,2 %.",Pas de mesure identique publiée pour l'Ontario.,Politique de la réussite éducative (2017) : 90 % des moins de 20 ans avec un premier diplôme ou une qualification d'ici 2030 (et 85 % avec un diplôme).,Institut de la statistique du Québec,https://statistique.quebec.ca/vitrine/egalite/dimensions-egalite/education/diplomation-qualification-secondaire?onglet=ensemble-de-la-population
education,"Éducation (primaire, secondaire, cégep, université)",Taux de sorties sans diplôme ni qualification (décrochage),14 %,2023-2024,%,bas_mieux,"22 % en 1999-2000 ; 16 % (2021-2022), 15 % (2022-2023), 14 % (2023-2024). Écart garçons-filles : 5 points.",Pas de mesure identique publiée pour l'Ontario.,,Institut de la statistique du Québec,https://statistique.quebec.ca/vitrine/15-29-ans/theme/education/sorties-sans-diplome-ni-qualification-au-secondaire
education,"Éducation (primaire, secondaire, cégep, université)",Résultats PISA en mathématiques (élèves de 15 ans),514 points,2022,points,haut_mieux,"Baisse : 536 (2003), 536 (2012), 514 (2022). Lecture 2022 : 501 ; sciences : 512. Les résultats PISA 2025 n'étaient pas encore intégrés à cette fiche.","1er au Canada et 7e au monde en mathématiques. Ontario 495, Canada 497, moyenne OCDE 472.",,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/education/recherches/Resultats-pisa-2022.pdf
